nama_produk,nama_shade,text_final
Lip Scrub,Cotton Candy,liplapin lip scrub rupa lip scrub wangi gulali manis bantu angkat sel kulit mati bibir pecah kusam bibir jadi lebih halus lembut melemebabkan bibir how to use bibir ada bersih ambil scrub cukup oles scrub bibir atas bawah gosok perlahan gera putar hingga rata seluruh muka bibir diam menit lalu sih tissue kapas suitable for semua jenis kulitingredients glucose honey mel cocos nucifera oil ci ci fragrance parfum components and finished fragrances scrub bibir beli sociolla wangi permen karet warna gemesh gradiasi biru pink banyak varian beda rasa wangi nya teksture gula beda warna rasa manis gula efektif angkat kulit mati bibir bibir jadi lembut pink rona alami mungil simpel packgingnya exp cukup lama beli sering muncul sosmed akhir beli lip scrub tipe scrubnya kasar kayak gula gitu lumanyan angkat kulit mati cuman kurang suka aku jadi kalau aku pribadi mending nyoba wangi nya enak banget bener bener enjoy ngescrub bibir pake tekstur nya gula gula kasar gitu jg oil nya gak bakal bikin kulit bibir malah jadi kelupas discrub tekstur bibir jadi halus ketika kurang hitam bibir jg kalau rutin ngescrub minggu sekali aja pakenya dikit so far ngangkat kulit mati bibiw yaaa ga bikin kulit bibiw kelupas msh aman ga bikin gatel to ga bikin bibiw aku jd pink jg sih lembut after pakai rasa manis wangi strawberry oke aja tp mau coba produk lip scrub liplapin scrubnya lumayan kasar ga bikin iritasi luka sih aku suka scentnya manis just like cotton candy kalau sugar scrub nya ngga sengaja masuk mulut super manis after feelingnya bikin bibir jadi lebih lembut sekarang mau mulai rajin lip scrub sih kadang suka lupa bibir ku tipe yg kering bgt ngelupas kadang darah pakai lip scrub enak bgt sampe kadang makan hahaha bibir jd halus bgt kl pake rutin cukup cerah warna bibir scrubnya gentle bibir aku kering jadi butuh scrub ga suka scrub sakit jadi aku pilih liplapin butir scrubnya halus kayak gula pasir wangi enak banget bibir ga ninggalin rasa pahit malah manis paling penting scrubnya ga sakit habis scrub bibir liat lebih segar worth to buy scrub bibir yg satu tuhhh wangi nya super duper enak bangetttttt manisss banget wangi nya varian marshmellow packanging nya imut harga nya jg jangkau abis pake bibir jd lembut makin lama makin cerah aku sih bakal repurchase terus yah pasti so in love sama lip scrub nya liplapin
Baby Color Balm,Baby Red,lip ice baby color balm baby red rupa lip balm wana bentuk pena praktis milik pilih warna tarik tahan lama lihat segar bibir kaya vitamin e natural moisturizer buat bibir tetap lembap lembut how to use aplikasi bibir meratasuitable for ingredients bagusss bangett pertama kali beli shopee awal iseng aja nyari lip balm tinted nemu deh ni produk satu bener bagus banget natural kayak warna bibir asli jadi ngga lihat kalau pake bibir bibir jd lihat sehat namany lipbalm klo dipake makan ilang lama lama kira lip ice cuma jual lip balm lip balm warna yg sheer banget nyata yg warna gonjreng gin packagingnya ngingetin aku sama punya mineral botanica ujung kayak pensil bentuk bulky gitu shadenya cherry red plum ish yg cakepppp banget hampir kayak fanta aku suka iya pas pake tuh rasa kayak permen polo on pict swatch yg bawah lip balm lip ice aku suka lip balmx warna d aplikasi bibir jadi cocok guna hari klau malas pake lipstik packagingx aku suku lip balmx bentukx crayon gitu jadi mudah guna teksturx lembut naux sengat sensasi mintx gitu bibirq yg kering jadi lebih lembab pake produk jujur aja aku ga expect banyak sama produk aku pikir bakal sheer gtu warna lipbalm umum nyata aku salah dong pas aku coba warna keluar banget pigmented aku asa kaya pake lipstick bukan lipbalm overall produk oke banget pas nama claimnya cuman turut yg improve segi packaging lebih modern biar up to date sama anak anak muda jaman sekarang tangkap aku target pasar lip ice enak banget sih jujur pertama kali cobain lip blam langsung suka ga bikin bibir kering ngerusak bibir jadi pecah pecah gitu harga emang aga lebih mahal sedikit kualitas ga kaleng kaleng ni oke punya ga kecewa deh enak banget sih bibir ga bikin lengket pas dipakenya aku biasa pake malam tidur jadi pas pagi bibir aku lembab warna gelap sedikit pudar cocok banget aku pake pertama kali aku coba beli varian bentuk beda lip ice biasa aku beli langsung tiga varian sekaligus efek warna bagus tiga warna aku paling suka nude harga sedikit lebih mahal lip balm lip ice biasa aku beli overall okay punya kualitas awal pingin lipbalm warna jadi ga berat banget pake lipstik kalau rumah kadang temen tamu jd ga pucet kali aku suka beneran kasih bibir aku warna lembabnya dapet layerin makin tebal warna natural kalo se layer layer minus transfer of course ga terlalu masalah namnya lipbalm stain nya cuma bagi atas bibir jadi garis gitu tengah ilang lembabnya ilang gitu aja kalo abis makan minum pdhal maknannya bukan makan berat inti ga long lasting lembabnya iya warnya suka gumpal kalau layer yah jadi pakai last choice aja ga makan ato minum suka jarang banget lip balm warna nya sepigmented wow banget dah warna merah bikin bibir pucat cetar bahana langsung jadi seger cerah complexion harga murah pulak ngelembabin sih iya ga lebay lengket greasy gitu soal tahan sih so so aja ga transferproof jd klo dipake minum suka beber gelas harga kualitas pigmentasi well worth it tetap suka banget sama lip ice pkok nya soal packaging ny loh ramping varian sheer color tuh pas awal pake sensasi cool dingin ny gitu mungkin kamdungan menthol ny warna nya mmg gimana gitu cakep kok pas banget yg ga mau lipstick an rumah tp ttp ken liat seger bentuk nya crayon sekali ulas udah keluar warna nya lumayan lembap meski ga lembap banget repurchase yes mau nyoba warna nude nya dong
Lip Balm,Orange,wardah lip blam lipbalm formulasi kandung jojoba oil squalane olive oil melembabkan nutrisi bibir bibir pecah pecah kelupas lipbalm kandung anti uv jaga bibir papar sinar uv kandung vitamin e antioksidan how to use aplikasi bibirsuitable for ingredients lip balm wardah orange wangi enak banget kayak jeruk terus lama banget habis tuh lembabnya cuma bentar jadi sering apply jam sekali biar bibir tetap lembab terus kurang higienis colek pakai tangan harga murah banget jangkau cuma nyoba sample booth wardah packaging nya mungil jar bulat plastik tutup transparan buka wangi cium sebenernya enak sih wangi kulit sensitif baik hati hati cara apply nya colek pakai jari lalu oles bibir insyaallah memang melembabkan sayangnyaa cara apply nya kurang suka jadi baik apply cuci tangan dulu biar tetap bersih pingin banget punya bibir sehat merah rona alami mau pakai lipstick takut lihat menor waktu kuliah akhir pilih warna orange suka packaging produk mungil lucu banget sayang malah bikin bibir kering pecah pecah tampak makin pucat padahal udah coba re apply bawa mana tetap no hasil hiks sedih deh gacocok bantu buat bibir kering kerontang kaya punya awet bangett gak gampang abis semua variant akuuu suka semua karna sama sama melembabkan bikin bibir halus lebih liat seger sehat gitu telah coba semua variant biar gak bosen gonta ganti aja karna wangi enak enak semua suka bangeet sama tekstur nya wangi nya aplikasi bibir lengket buat bibir jadi lembab lebih tahan lama kemas mungil jadi mudah bawa mana lumayan lah buat bantu melembabkan bibir aku gak pake sampe habis sih aku ganti produk lebih cocok pake produk lip balm lebih thicky turut jadi kesan jadi minyak banget gitulooo kalo hapus gak lembab lg bibir nyoba lip balm krn betul bibi kering jadi cari produk lokal gampang cari harga jangkau wangi enak ukur kecil gampang bawa cuma kemas jar gin kurang steril gtu yah colek colek pake jari lumayan bikin lembut lembap bau enak emang kemas ga ramah pakai kudu colek colek lama kering produk ga asa habis sampe akhir kupake dua harga memang super affordable harga manfaat sama aku temu produk lebih baik aku tahu produk milik bau bau jeruk lilin minyak bukan melembabkan justru beri kesan bibir minyak lip balm favorit jaman lembabnya pas gak neko gabisa terus melembabkan jadi bolak balik oles sama kaya lip balm bibir kering enak aja tuntas kering cukup oke
Lip Care SPF 30,Strawberry,sebamed lip care spf strawberry rupa lembap bibir lindung bibir cahaya matahari atas masalah bibir kering pecah pecah how to use aplikasi bibir diperlukansuitable for bibir kering bibir pecah pecahingredients pentavitin panthenol vitamin e allantoin biotin vit h pasar jarang bgt lip balm spf sebamed lip balm salah satu yg ber spf proteksi bagus aku paling suka varian strawberry warna lihat natural gak lebay bibir finishnya lembap gak minyak gak becek produk cukup melebab in tp yg ga tahan lama daya serap cukup lama klaim benar lindung bibir sinar matahari spf nya kalau kalian tipe bibir yg kering kerontang aku ngga terlalu saran pake lip yg satu ngga terlalu melembabkan tpi lindung bibir pengaruh buruk sinar ultraviolet favorit banget buat pakai daily sampe tulis hilang spfnya jadi ga bikin bibir hitam kena matahari warna dikit jadi bibir ga pucat aku pakai sekolah melembabkan oke banget warna ga stain tiap pakai minum hilang jadi re apply belum pake ga warna oke banget buat bibir kering pecah akhir nyoba warna biar ga terlalu pucat oke buat ngelembabin bibir warna jadi bibir ga terlalu pucat kalo lipbalm aja lipbalm udah spfnya jadi bibir aman sinar uv lipbalm awet udah lebih tiga bulan tengah lip balm nya awet banget udah ilang tulis padahal dipake tiap hari ga abis abis warna nya merah jadi ga perlu liptint ga cover bibir hitam warna merah ga tahan lama dipake minum langsung ilang jadi sering sering reapply lip balm spf warna strawberry shade lebih cerah banding shade cherry pigmentasi kurang lindung spfnya bagus kandung jojoba oil rice bran oil castor oil rapeseed sterols squalane bisabolol lecithin candelilla wax cera alba harga affordable ga wajah badan butuh sunblock bibir perlu lip defense punya spf jadi beneran ngelundungin bibir sinar uv aja jg ngelembabin bibir karna aku beli varian strawberry jadi ngasi warna merah bibir kadang kalau luar siang hari ga perlu bawa liptint karna lip defense sebamed udah ngasi warna yg bagus jadi tinggal reapply aja jgn cuma kulit muka aja yg dipakein spf bibir dong bibir aku enak ga berat bgt warna merah jg natural ga bikin sampe norak bgt gt nyesuaikan minus bikin kering aja sih jd tiap jam sekali reapply a must have product bakal repurchase beneran lindung bibir sinar matahari bibir benar bukan tipe kering pernah jadi pinggir bibir kaya iritas poko pas mangap perih aku coba lip balm spf nya hasil bagus iritasi langsung kering bibir lembap terus bikin cerah sedikit recomended deh buat cari lip balm terus spf nya cukup bagus harga jangkau
Smoochies Lip Balm,Cucumber,emina cucumber juice smoochies lip balm rupa lip balm milik tekstur lembut ringan minyak lengket kandung squalane olive oil jojoba oil jaga kelembababan lembut bibir sunscreen spf lindung bibir sinar uv vitamin e antioksi guna lip balm sangat kes hasil kandung cucumber juice produk beri lembap luar biasa bibir buat asa lebih kenyal halus lihat ubah signifikan garis halus bibir lip balm mampu kurang tampil garis halus sebut beri kesan bibir lebih muda segar senang tekstur ringan lengket aroma segar asal cucumber juice guna rutin lip balm beri lindung tambah efek tua akibat papar sinar matahari seluruh sangat rekomendasi emina smoochies lip balm cucumber juice siapa cari produk awat bibir efektif kurang tanda tanda tua produk bantu rasa lebih percaya diri bibir lihat lebih muda sehat aku biasa pakai lipbalm tidur pas bangun bibir jadi lembab cocok banget buat yg punya bibir kering suka pake lip product matte rutin pakai bibir jadi lebih smooth tekstur awal pas ambil pot lumayan padet jd susah ambil tp pakai beberapa kali jadi lebih melting wangi cucumber nya lumayan kenceng tp ga ganggu kok aku suka banget pake lipstick model matte pake lipstick sifat bakal drying aku bakal pake dulu fyi bibir aku tipe yg pucet bgt kering bgt bgt bgt jadi kalo pake ini nyelamatin bibir aku sekering buat pake lipstick matte hampir tiap hari buat aku ga lengket cenderung enak bibir bau jugaa enak aku sukakk wangi cucumbernya cukup kuat eh kalo mnurut aku wangi lebih wangi melon gitu sih wkwk kalo lembap aku kurang bibir kering banget suka wangi aja sih kalo aku kemas lip balmnya bewarna pink pudar isi bewarna hijau tenang aja gak bikin bibir warna wangi cukup menganggu aku terksturnya keras buat ukur lip balm nyaman aja digunain awal kurang suka sama produk asa tebel banget waktu pakai lama lama suka ngelembapin banget kemas lucu gemess udah gtu ga rasa minyak becek gtu pas banget buat jadi alas lip cream ga tau knpa semenjak pakai bibir lihat lebih rona gtu gelap gelap kurang luuvv aku suka sama lip balm nya bibir aku awal nya kering jadi lembab textur nya ringan enak banget pake aku ga suka nya klo hari ga pake bibir aku kering jadi emng pake terus kurang suka sama wangi nya packaging nya lucu warna ijo bgt wkwk wangi jg bener bener wangi timun bgt sumpah tp sygnya aku krg suka wangi karna aneh gt kalo utk tekstur ga jauh beda ko sm lip balm yg lemon sama sama melembabkan lembt bgt pelembab bibir suka aku banget soal pas dipake bibir tu ga warna nya sama sekali bener bener bikin lembab bangettt kalau dipake malem tidur pas pagi bangun tidur tuu bibir enak banget lembab lembut enak banget banget bibir pokonyaaa aku beli product awal emang butuh lipbalm akhirnyaaa pilih ku jatuh smoochies emina ga harap banyak sih sama produk penting ngelembapin bibir eh pas dicobain wangi enak seger banget terus tipe lipbalm ga sticky jauh aku suka sih emang gada warna nya wangi banget kaya lg makan permen cuma aku kurang suka packaging nya aja susah nge apply nya aku sukaa
24H Melt-In Moisture,Soothe & Protect,there s no description for this product nivea lip balm solusi praktis bibir kering pecah pecah tekstur ringan lengket beri hidrasi instan sedia bagai varian baik transparan maupun warna ringan cocok pakai hari hari bahkan dasar pakai lipstik hasil bibir asa lembut lembap tampak sehat lipbalm pertama kandung spf pernah lihat praktis melembabkan oke dasar lipstik staying powernya kurang mesti reapply endingnya aku lebih suka pake lip sleeping maskunya laneige buat ganti lipbalm aku pake sampe abis aku koretin saking cinta whenever my lip cream act up and leave my lip dry and patchy it always be my go to product pake maleman besok bibir udah recover and gets better gak berat tinggal extra gloss grease bibir banget melembabkan hidrasi bikin bibir lembut gak ngecrack tetap asa nyaman the spf is something that i love the most about this product it protects my lip and i will repurchase again for sure masa aku pakai nivea varian yg hydro habis jastip ecommerce harga ga aku suka hehehe sebenernya bagus sih spf jadi rasa lebih secure pakai outdoor rasa heavy ga melembabkan aku cukup meski aku lebih suka yg kemas warna biru tua buat gak terlalu melembabkan waktu lama cukup buat bikin bibit rasa lembut pakai beri warna aroma atau rasa ninggalin rasa tebel bibir pakai another best lip product aku beli bundling sama pink dapet kayak tempat lucu gitu gantungin lebih melembabkan sih banding pink gak warna jadi kalo mau dipake malem malem oke banget super melembabkan produk lipbalm nivea pertama aku punya warna keruh tekstur lengket aroma turut enggak terlalu sengat aplikasi bibir produk enggak ngasih tint warna apa turut benar benat super ngelembapin jadi andal banget bibir kering love it best lipbalm ever i swear udah sering banget coba coba lipbalm banyak bikin bibir jadi greasy minyak gitu cuma lipbalm ngga beneran mositurizing plus spf nya aku ngerasa bibir lebih cerah kalau rutin pakai lipbalm udah rekomen banyak orang soal lipbalm you guys need to try it dulu pake krn kata adekku rasa lembab buat bibir yg super kering jd akhir iseng coba aja biasa lipbalm cenderung bikin bibir makin kering tp nyata nyaman aja pake lipbalm malam aku ga pake lipbalm pake warna bibir apa emang pagi asa bibir lbh awat aja gitu lipbalm ga wangi rasa apa jd aman aja buat bibir yg sensitif ato pas kelupas saking kering repurchase detik krn males aja ganti cukup lembab enak sih spf nya aku gunain pas morning skincare routine apply sering mungkin kalo ngerasa bibir udah kering bibir jadi tampak sehat sudah aku pikir tuh ga spfnya baru tau taun lalu lama selalu beli nivea lip balm strawberry ga spfnya
Dew+ Tinted 6hr Lip Moisturizer - Tinted Lipstick meets Lip Balm,Rose Fresh,dew tinted lip moisturizer pertama full tinted x moist hr lip moisturizer formulated for hydrated and healthier looking lips say hi to dew lips not dry lips dapet gift event mad jujur ekspektasiku tinggi sih buat lip product nyata worth the hype sekali tekstur kayak lip balm gitu tp super pigmented tahan so so ofc hilang kalo buat makan goreng aman aman ajaa kok warna beneran representasi my lips but better warna pink soft lip cream tuh punya tekstur ringan banget aplikasi bibir nyaman banget dipake ga bikin kering bibir warna cakep cakep banget cocok buat pakai hari hari bikin bibir tampak plumpy sehat segar gitu produk mad pertama aku punya aku beli awal racun temenkuuuu pas aku bilang mau beli lipbalm akhir jadi aku beli dew st impression langsung jatuh cintaaaak lembab bgt daan pigmented luvvv bangeeet aaaaa sukaa bgtt pake dr jaman baru muncul shades bener bener ngelembapin bibir texture nya enak bgtt mau dipake base touch up tuh bener bener baguuusss bgtt kalo mau pake lipcream wajib bgt pake dulu biar ga ngecrack hasil pigmented long lasting bgtt kalo dipake makan buas yg kuah jujur warna nya mas ngestain bibir skrg shades nya udah banyak tp aku tetep paling cinta sama shades karna hasil bikin bibir liat lebih fresh natural gituu kalo kena cahaya matahari jadi makin cakep bgt packaging nya transparant simple cukup unik poko cinta bgt selalu aku re purchase wajib dalem pouch lipbalm tekstur gak se oily lipbalm tekstur lebih kyk lipstick jadul aja lumayan lembap kalo wangi nya aku kurang suka kyk wangi lipstik jadul warna nya coral segar pink natural packaging nya simple tulis gampang hilang tinted lipbalm favorit mlbb versi sehat bgt mana awet mau dipake makan brutal goreng mie instan lontong sayur staying powernya sungguh juara lembap ga ninggalin bekas yg parah pinggir gelas sedot sendok warna cakeppp banget asli pinky fresh gituu sedikit pucet aku tp gapapa biasa suka aku tambahin lip serum lagiii bener bener melembabkann gak greasy kayak pake lip balm lebih murah jadi sangat worth the price warna longlasting tinted lip balm terluvvvvv banget deh shade tuh tjakep parah asa mlbb gitu warna pink nya ga norak jatuh malah pink seger natural pigmented cukup nutupin warna bibir gelap longlasting dipake minum sama makan ringan aman banget kalo makan berat emang luntur sih warna luntur tuh cakep banget tetep ninggalin stain bibir psssttt kalo beli produk nya mad selalu pasti dapet freebies permen kaki lipstick baik pernah aku punya warna natural bgt beneran awettttt sampe udah mandi minum bibir aku liat pink pink gitu ga pucet klw abis makan emg perlu touch up sdikit worth it bgt udh tahun ga habis woyyy
Baby Lips Candy Wow,Cinnamon,maybelline baby lips candy wow lipbalm hasil warna tipis cerah bibir lengkap vitamin e melembabkan lindung bibir how to use aplikasi bibirsuitable for ingredients warna cantik aku nyatu warna nya sama bibir aku bener bener cantik sehat glossy gitu jatuh cinta bgt aku sama produk warna cuma sayang sekarang susah cari alfa gitu udah cari beberapa minimarket bener bener ga jadi beli nya online shop feels nya oily melembabkan gak yg super hydrating tint nya sheer bgt turut hampir gak liat kalo bibir lol packaging nya eye catching ala crayon warna dusty pink hijau aku gatau packaging nya setinggi padahal isi gada tengah not a bad product but could be better nyobain yg warna pink nyoba deh warna earthy tone gitu kan pas diaplikasiin gak terlalu nyata sih warna kan cuma lip balm bikin bibir glossy abis aku gak repurchase lagi salah satu lipbalm suka nih produk bikin bibir jadi lebih cerah fresh warna nude gitu tekstur ringan bibir cukup buat lembapin bibir cocok banget buat dipake hari hari packagingnya lucu cukup awet sih harga sahabat kantong overall jauh puas produk must have deh produk akuu sukaa bangett samaa lip balm maybelline ini tekstur creamy rada padet gituu apply bibir ngeblend well bibir warnanyaa naturall bangettbangettt biasa aku pake buat jadi base nnti layer hasilnyaa cantik banget minus gampang patah gampang cair kalo kena panas worth to try awal coba kasi mama surprisingly aku suka banget warna ngga liat and it blends well with my lips wangi enak banget aku betul suka wangi cinammon would definitely repurchase someday tinted balm paling bagussss bikin bibir glossy tekstur enak buat apply bibir warna cocok banget for my skintone lama lama bibir jd moist warna natural fav abis poko cuma skrng jarang bgt liat online shop but gampang cair ancur klo tempat panas tasha s review baguss banget ngelembapin bibir warna natural gitu wangi kayak permen banget packaging nya lucu gampang buka lumayan besar sih banding baby lips satu nya recommended buat anak sekolah bagus sii lipbalm emang ngelembapin trus warna keluar jadi natural banget si aku suka banget karna pas kalo malas mager gt pake liptint or matte aku pake aja udah bagus banget wkwkwk salah satu brand lipbalm favoritkuu semua varian aku sukaa warna bener bener liat turut lumayan sih harga lembab sihh paling juaranyaa warna sangat natural colok pakai tebel kalo sekolah mending tipis aja sih turut
Color Pop Lip Balm,Pink,pelembab bibir ubah warna jadi pink natural varian warna bantu rawat bibir jadi lebih lembab senyum manis bibir selalu indah bpom no purple na salem na yellow na pink na green na orange na net weight grsetiap warna hasil finishing sama warna pink natural cantik kirim warna acak sesuai stock sedia
Lip Balm,Vanilla,wardah lip balm milik aroma buah segar fungsi melembabkan nutrisi rawat bibir lip balm atas bibir pecah pecah kandung lengkap spf uv protection how to use guna hari utama malam hari tidur bibir dibersihkansuitable for bibir kering bibir pecah pecahingredients formula lengket buat mudah serap bibir tinggal rasa minyak tekstur ringan aroma vanila segar produk cocok guna hari hari ribet cukup oles sedikit bibir asa lembut lindung panjang hari perlu tunggu lama resap kamu langsung lanjut aktivitas ganggu wardah lip balm vanilla awat bibir jadi lebih praktis efisien sesuai gaya hidup sibuk huhuhu sorry wardah aku kurang suka sama lip balm nya bibir aku emang kering banget sampe mau ngelopek gitu pake ngga bikin lembab malah biasa aja harus beli stick karna bikin susah buat pake ngga higienis jatuh karna ngga alat buat ambil kaya spatula gitu lipbalm tipikal lipbalm basic lembut melembabkan kulit bibir kasar pecah pecah spesial lipbalm lipbalm packaging aku lebih suka bentuk stik pakai jari tangan colek colek perlu effort puter puter tutup buka tutup produk kalau masalah harga cukup murah jangkau sekali bukan ga bagus bukan bagus banget cuman bagus aja biasa aja aku make bibir lembab biasa jadi nothing special cuma memang bibir lihat lebih seri pakai lip glos gitu kalo mau coba coba coba aja definisi sayang kalo ga dipake tu produk kemas jar terus gaada spatula jadi cungkil pake jari udah gitu after feelsnya sama sekali gak nge moist bibir aku malah rasa jadi greasy kayak naro wax bibir sorry wardah aku bener bener big no banget sama lip balm lip balm umum aku engga taruh ekspektasi besar product nya jadi nya aku no complaint hehe productnya melembabkan beneran moist aga minyak giti aroma nya enak vanilla is my favoritos jadi salah satu produk paling aku suka baru banget pertama kali coba aku langsung jatuh cinta cocok banget buat aku pas banget buat aku fix jadi favorit aku si produk aku suka bangettt loveeeee itttttt jadi aku mau sedikit sharing kalian nih guyss jadi tipe bibir aku terkadang gmpng mudah kering pdhal aku orgnya suka bgt minum air putih teruss aku mulai cari nih bbrp lip balm yg bagus buat atas bibir kering dann aku temu guyss wardah punya memang bagus bgt cocok bibir aku ngefek dehh uda ga warna jd netral gt trs ringan bgt bibir kitaa jd kalian jg bukti sendiri yaa hebat wardah lip balm ini bibir aku kering pake produk sekarang udah gak aku suka pake lip matte jadi aku tumpuk deh cara pake nya biar gak kering lip balm nya aroma nya manis banget jd skarang gak takut deh kalo bibir kering
