nama_produk,nama_shade,kategori,brand,harga,rating
Lip Scrub,Cotton Candy,lip balm,Liplapin,42000.0,4.0
Baby Color Balm,Baby Red,lip balm,Lip Ice,38000.0,4.4
Lip Balm,Orange,lip balm,Wardah,25000.0,3.8
Lip Care SPF 30,Strawberry,lip balm,Sebamed,65000.0,4.3
Smoochies Lip Balm,Cucumber,lip balm,Emina,27000.0,3.4
24H Melt-In Moisture,Soothe & Protect,lip balm,Nivea,17000.0,4.1
Dew+ Tinted 6hr Lip Moisturizer - Tinted Lipstick meets Lip Balm,Rose Fresh,lip balm,Mad For Makeup,99000.0,4.3
Baby Lips Candy Wow,Cinnamon,lip balm,Maybelline,43000.0,4.3
Color Pop Lip Balm,Pink,lip balm,Madame Gie,9000.0,3.4
Lip Balm,Vanilla,lip balm,Wardah,21000.0,3.7
ColorBurst Matte Balm,Standout,lip balm,Revlon,92000.0,3.9
Lip Care,Pink Bubble Gum,lip balm,Khalisa,26000.0,3.9
Watercolor Lip Serum,02 Mist,lip balm,Emina,35000.0,4.6
Baby Lips Love Color,Berry Crush,lip balm,Maybelline,25000.0,4.1
Tinted Lip Balm,Hibiscus,lip balm,Burt'S Bees,100000.0,4.0
Hypergloss Lip Balm,Dear Rene,lip balm,Dear Me Beauty,89000.0,4.0
Lip Butter,Original,lip balm,Nivea,30000.0,3.8
Cocoa Butter Lip Care Stick,DESCRIPTION,lip balm,The Body Shop,89000.0,4.1
Lip Care,Pure Vanilla Honey,lip balm,Khalisa,28000.0,4.2
Lip Therapy Tube,Rosy Tinted,lip balm,Vaseline,20000.0,4.1
Oh So Kissable Tinted Balm Stick,Plum Candy,lip balm,Emina,29000.0,4.1
Lip Smooth Color Bloom,Pink Blossom,lip balm,Maybelline,25000.0,4.5
Sheer Color,Strawberry,lip balm,Lip Ice,25750.0,3.8
Lip Therapy Mini,Cocoa Butter,lip balm,Vaseline,30000.0,4.3
Baby Lips Candy Wow,Raspberry,lip balm,Maybelline,80000.0,4.0
Vitamin Shake Lip Balm,Cranberry and Raspberry,lip balm,Nivea,25000.0,3.8
Baby Lips Love Color,Cherry Kiss,lip balm,Maybelline,25000.0,4.1
Organic Lip Balm,Vanilla,lip balm,Buttered,45000.0,4.6
Baby Lips Love Color,Coral Flush,lip balm,Maybelline,25000.0,4.1
Lip Therapy Tube,Advanced Healing,lip balm,Vaseline,49999.0,4.2
Sheer Color Beeswax,Strawberry,lip balm,Lip Ice,35000.0,4.0
Lip Therapy Mini,Original,lip balm,Vaseline,50000.0,4.5
Baby Lips Color SPF 20,Anti-Oxidant Berry,lip balm,Maybelline,18000.0,3.7
Tender Care Protecting Balm,Caramel,lip balm,Oriflame,25000.0,3.8
Lip Mask,Milky Matcha,lip balm,Emina,38000.0,4.2
Lipcare,DESCRIPTION,lip balm,Envygreen,85000.0,4.1
Everyday Moisture Lip Nutrition,Honey,lip balm,Wardah,23.0,3.9
My Favorite Things Lip Color Balm,Library Queen,lip balm,Emina,56000.0,3.6
Pop Ball Lip Balm,Watermelon & Pomegranate,lip balm,Nivea,80.0,4.2
Dior Addict Lip Glow Color Reviver Balm,Pink,lip balm,Dior,34.0,4.6
Lip Sleeping Mask,Berry,lip balm,Laneige,250.0,4.6
Organic Lip Balm,Coconut,lip balm,Buttered,45000.0,4.4
Baby Lips Color SPF 20,Lychee Addict,lip balm,Maybelline,70000.0,3.9
Sweet Macaron Lip Balm,DESCRIPTION,lip balm,The Body Culture,50000.0,4.2
Everyday Moisture Lip Nutrition,Green Tea,lip balm,Wardah,25000.0,3.9
Strawberry Lip Butter,DESCRIPTION,lip balm,The Body Shop,0.0,3.4
Lip Mask,Original,lip balm,Emina,0.0,4.3
Lip Balm,Cocoa,lip balm,Utama Spice,15950.0,3.8
YOY Girl! Liptwins Disney Edition,Honey Peach,lip balm,Jacquelle,139000.0,5.0
Lip Sleeping Mask,Vanilla,lip balm,Laneige,260000.0,4.6
Lip Sleeping Mask,Apple Lime,lip balm,Laneige,270000.0,4.8
Bo$$ Baby Sugar Lip Scrub,DESCRIPTION,lip balm,Mineral Botanica,90000.0,4.9
Tinted Lip Balm,Strawberry Kiss,lip balm,Liplapin,55000.0,4.0
Organic Lip Balm,Unscented,lip balm,Buttered,45000.0,4.3
Sport Sunscreen Lip Balm,DESCRIPTION,lip balm,Lip Ice,37000.0,4.4
Lip Therapy Stick,Rosy Lips,lip balm,Vaseline,25000.0,4.1
Shea Butter Lip Balm Stick,DESCRIPTION,lip balm,L'Occitane,142000.0,4.0
Ceramoist Glow Lip Serum,DESCRIPTION,lip balm,Barenbliss,69000.0,4.2
Baby Lips Candy Wow,Orange,lip balm,Maybelline,86000.0,3.9
Lip Butter,Blueberry Blush,lip balm,Nivea,30000.0,4.1
Tender Care Protecting Balm,Rose,lip balm,Oriflame,20000.0,4.1
